ts_utc,ts_local,demand_mw,demand_forecast_mw,net_gen_mw,interchange_mw
2024-06-14 00:00:00,06/13/2024 8:00:00 PM,17088.0,16960.0,14330.0,-2758.0
2024-06-14 01:00:00,06/13/2024 9:00:00 PM,16719.0,16580.0,13617.0,-3102.0
2024-06-14 02:00:00,06/13/2024 10:00:00 PM,16069.0,15750.0,13137.0,-2932.0
2024-06-14 03:00:00,06/13/2024 11:00:00 PM,14715.0,14390.0,12501.0,-2214.0
2024-06-14 04:00:00,06/14/2024 12:00:00 AM,13335.0,13060.0,11454.0,-1881.0
2024-06-14 05:00:00,06/14/2024 1:00:00 AM,12592.0,12290.0,10623.0,-1969.0
2024-06-14 06:00:00,06/14/2024 2:00:00 AM,11921.0,11570.0,10203.0,-1718.0
2024-06-14 07:00:00,06/14/2024 3:00:00 AM,11778.0,11140.0,10520.0,-1258.0
2024-06-14 08:00:00,06/14/2024 4:00:00 AM,11505.0,10880.0,10363.0,-1142.0
2024-06-14 09:00:00,06/14/2024 5:00:00 AM,11593.0,10980.0,10767.0,-826.0
2024-06-14 10:00:00,06/14/2024 6:00:00 AM,12015.0,11450.0,10856.0,-1159.0
2024-06-14 11:00:00,06/14/2024 7:00:00 AM,12593.0,12340.0,11413.0,-1180.0
2024-06-14 12:00:00,06/14/2024 8:00:00 AM,12924.0,12950.0,12102.0,-822.0
2024-06-14 13:00:00,06/14/2024 9:00:00 AM,13188.0,13220.0,12764.0,-424.0
2024-06-14 14:00:00,06/14/2024 10:00:00 AM,13419.0,13320.0,13187.0,-232.0
2024-06-14 15:00:00,06/14/2024 11:00:00 AM,13945.0,13610.0,13447.0,-498.0
2024-06-14 16:00:00,06/14/2024 12:00:00 PM,14567.0,13930.0,13833.0,-734.0
2024-06-14 17:00:00,06/14/2024 1:00:00 PM,15019.0,14370.0,13714.0,-1305.0
2024-06-14 18:00:00,06/14/2024 2:00:00 PM,15156.0,15010.0,13261.0,-1895.0
2024-06-14 19:00:00,06/14/2024 3:00:00 PM,15164.0,15490.0,13617.0,-1547.0
2024-06-14 20:00:00,06/14/2024 4:00:00 PM,15547.0,15930.0,14381.0,-1166.0
2024-06-14 21:00:00,06/14/2024 5:00:00 PM,16177.0,16300.0,15031.0,-1146.0
2024-06-14 22:00:00,06/14/2024 6:00:00 PM,16454.0,16560.0,15024.0,-1430.0
2024-06-14 23:00:00,06/14/2024 7:00:00 PM,16305.0,16430.0,15019.0,-1286.0
2024-06-15 00:00:00,06/14/2024 8:00:00 PM,16065.0,16240.0,13730.0,-2335.0
2024-06-15 01:00:00,06/14/2024 9:00:00 PM,15785.0,15820.0,14241.0,-1544.0
2024-06-15 02:00:00,06/14/2024 10:00:00 PM,15132.0,15270.0,14403.0,-729.0
2024-06-15 03:00:00,06/14/2024 11:00:00 PM,14140.0,14250.0,13339.0,-801.0
2024-06-15 04:00:00,06/15/2024 12:00:00 AM,13052.0,13190.0,12031.0,-1021.0
2024-06-15 05:00:00,06/15/2024 1:00:00 AM,12152.0,12140.0,11277.0,-875.0
2024-06-15 06:00:00,06/15/2024 2:00:00 AM,11465.0,11460.0,10596.0,-869.0
2024-06-15 07:00:00,06/15/2024 3:00:00 AM,10997.0,11000.0,9962.0,-1035.0
2024-06-15 08:00:00,06/15/2024 4:00:00 AM,11097.0,10730.0,9997.0,-1100.0
2024-06-15 09:00:00,06/15/2024 5:00:00 AM,11102.0,10580.0,9978.0,-1124.0
2024-06-15 10:00:00,06/15/2024 6:00:00 AM,11079.0,10560.0,9992.0,-1087.0
2024-06-15 11:00:00,06/15/2024 7:00:00 AM,11197.0,10680.0,10105.0,-1092.0
2024-06-15 12:00:00,06/15/2024 8:00:00 AM,10921.0,10680.0,10157.0,-764.0
2024-06-15 13:00:00,06/15/2024 9:00:00 AM,11034.0,10440.0,10442.0,-592.0
2024-06-15 14:00:00,06/15/2024 10:00:00 AM,10487.0,10200.0,10416.0,-71.0
2024-06-15 15:00:00,06/15/2024 11:00:00 AM,10143.0,9780.0,10174.0,31.0
2024-06-15 16:00:00,06/15/2024 12:00:00 PM,10346.0,9590.0,10158.0,-188.0
2024-06-15 17:00:00,06/15/2024 1:00:00 PM,10287.0,9630.0,10105.0,-182.0
2024-06-15 18:00:00,06/15/2024 2:00:00 PM,9849.0,9840.0,9904.0,55.0
2024-06-15 19:00:00,06/15/2024 3:00:00 PM,10022.0,10130.0,9993.0,-29.0
2024-06-15 20:00:00,06/15/2024 4:00:00 PM,10716.0,10870.0,10987.0,271.0
2024-06-15 21:00:00,06/15/2024 5:00:00 PM,11636.0,12130.0,11867.0,231.0
2024-06-15 22:00:00,06/15/2024 6:00:00 PM,12976.0,13300.0,13107.0,131.0
2024-06-15 23:00:00,06/15/2024 7:00:00 PM,13963.0,14000.0,13375.0,-588.0
2024-06-16 00:00:00,06/15/2024 8:00:00 PM,14154.0,13990.0,13118.0,-1036.0
2024-06-16 01:00:00,06/15/2024 9:00:00 PM,13834.0,13800.0,12816.0,-1018.0
2024-06-16 02:00:00,06/15/2024 10:00:00 PM,13377.0,13310.0,12527.0,-850.0
2024-06-16 03:00:00,06/15/2024 11:00:00 PM,12474.0,12340.0,11978.0,-496.0
2024-06-16 04:00:00,06/16/2024 12:00:00 AM,11702.0,11300.0,11254.0,-448.0
2024-06-16 05:00:00,06/16/2024 1:00:00 AM,10857.0,10580.0,10023.0,-834.0
2024-06-16 06:00:00,06/16/2024 2:00:00 AM,10482.0,9980.0,9569.0,-913.0
2024-06-16 07:00:00,06/16/2024 3:00:00 AM,10417.0,9580.0,9193.0,-1224.0
2024-06-16 08:00:00,06/16/2024 4:00:00 AM,10160.0,9320.0,8776.0,-1384.0
2024-06-16 09:00:00,06/16/2024 5:00:00 AM,10066.0,9230.0,8553.0,-1513.0
2024-06-16 10:00:00,06/16/2024 6:00:00 AM,9997.0,9150.0,8342.0,-1655.0
2024-06-16 11:00:00,06/16/2024 7:00:00 AM,9984.0,9150.0,8228.0,-1756.0
2024-06-16 12:00:00,06/16/2024 8:00:00 AM,9772.0,8920.0,8266.0,-1506.0
2024-06-16 13:00:00,06/16/2024 9:00:00 AM,9358.0,8500.0,8136.0,-1222.0
2024-06-16 14:00:00,06/16/2024 10:00:00 AM,8913.0,8100.0,8233.0,-680.0
2024-06-16 15:00:00,06/16/2024 11:00:00 AM,8362.0,7700.0,7900.0,-462.0
2024-06-16 16:00:00,06/16/2024 12:00:00 PM,8367.0,7720.0,8075.0,-292.0
2024-06-16 17:00:00,06/16/2024 1:00:00 PM,8493.0,7820.0,8420.0,-73.0
2024-06-16 18:00:00,06/16/2024 2:00:00 PM,8729.0,8110.0,8923.0,194.0
2024-06-16 19:00:00,06/16/2024 3:00:00 PM,9218.0,8650.0,9656.0,438.0
2024-06-16 20:00:00,06/16/2024 4:00:00 PM,9648.0,9440.0,10041.0,393.0
2024-06-16 21:00:00,06/16/2024 5:00:00 PM,11012.0,10780.0,11637.0,625.0
2024-06-16 22:00:00,06/16/2024 6:00:00 PM,12399.0,12120.0,12238.0,-161.0
2024-06-16 23:00:00,06/16/2024 7:00:00 PM,13197.0,12940.0,12270.0,-927.0
2024-06-17 00:00:00,06/16/2024 8:00:00 PM,13521.0,13120.0,12429.0,-1092.0
2024-06-17 01:00:00,06/16/2024 9:00:00 PM,13641.0,13070.0,12672.0,-969.0
2024-06-17 02:00:00,06/16/2024 10:00:00 PM,13284.0,12750.0,12590.0,-694.0
2024-06-17 03:00:00,06/16/2024 11:00:00 PM,12265.0,11900.0,11678.0,-587.0
2024-06-17 04:00:00,06/17/2024 12:00:00 AM,11240.0,10900.0,10548.0,-692.0
2024-06-17 05:00:00,06/17/2024 1:00:00 AM,10510.0,10500.0,9612.0,-898.0
2024-06-17 06:00:00,06/17/2024 2:00:00 AM,10543.0,10020.0,9802.0,-741.0
2024-06-17 07:00:00,06/17/2024 3:00:00 AM,10592.0,9760.0,9922.0,-670.0
2024-06-17 08:00:00,06/17/2024 4:00:00 AM,10537.0,9660.0,9665.0,-872.0
2024-06-17 09:00:00,06/17/2024 5:00:00 AM,10678.0,9840.0,9542.0,-1136.0
2024-06-17 10:00:00,06/17/2024 6:00:00 AM,10512.0,10320.0,9355.0,-1157.0
2024-06-17 11:00:00,06/17/2024 7:00:00 AM,11264.0,11160.0,10022.0,-1242.0
2024-06-17 12:00:00,06/17/2024 8:00:00 AM,11821.0,11710.0,11214.0,-607.0
2024-06-17 13:00:00,06/17/2024 9:00:00 AM,11771.0,11490.0,11531.0,-240.0
2024-06-17 14:00:00,06/17/2024 10:00:00 AM,11569.0,11290.0,11870.0,301.0
2024-06-17 15:00:00,06/17/2024 11:00:00 AM,11560.0,11360.0,12031.0,471.0
2024-06-17 16:00:00,06/17/2024 12:00:00 PM,11675.0,11580.0,12435.0,760.0
2024-06-17 17:00:00,06/17/2024 1:00:00 PM,12304.0,11970.0,13218.0,914.0
2024-06-17 18:00:00,06/17/2024 2:00:00 PM,13212.0,12580.0,13435.0,223.0
2024-06-17 19:00:00,06/17/2024 3:00:00 PM,14066.0,13190.0,14444.0,378.0
2024-06-17 20:00:00,06/17/2024 4:00:00 PM,15011.0,14920.0,15501.0,490.0
2024-06-17 21:00:00,06/17/2024 5:00:00 PM,15872.0,15750.0,16166.0,294.0
2024-06-17 22:00:00,06/17/2024 6:00:00 PM,16581.0,16460.0,16845.0,264.0
2024-06-17 23:00:00,06/17/2024 7:00:00 PM,17077.0,16750.0,17135.0,58.0
2024-06-18 00:00:00,06/17/2024 8:00:00 PM,17182.0,16650.0,17080.0,-102.0
2024-06-18 01:00:00,06/17/2024 9:00:00 PM,16870.0,16400.0,16475.0,-395.0
2024-06-18 02:00:00,06/17/2024 10:00:00 PM,16197.0,15700.0,15603.0,-594.0
2024-06-18 03:00:00,06/17/2024 11:00:00 PM,14986.0,14340.0,14494.0,-492.0
2024-06-18 04:00:00,06/18/2024 12:00:00 AM,14083.0,12990.0,13311.0,-772.0
2024-06-18 05:00:00,06/18/2024 1:00:00 AM,13541.0,12540.0,12733.0,-808.0
2024-06-18 06:00:00,06/18/2024 2:00:00 AM,13373.0,11860.0,12788.0,-585.0
2024-06-18 07:00:00,06/18/2024 3:00:00 AM,12984.0,11570.0,12329.0,-655.0
2024-06-18 08:00:00,06/18/2024 4:00:00 AM,12737.0,11240.0,12144.0,-593.0
